rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
"1,086",와일드,장 마크 발레,이십세기폭스코리아(주),2015-01-22,미국,58,83334,드라마,청소년관람불가,8.45,리즈 위더스푼|로라 던|토머스 새도스키|,8.987948142, ,4.990030584,,3.619562379,c,7.06657,b,7.06657,b
"1,087",짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,하시모토 마사카즈,롯데쇼핑㈜롯데엔터테인먼트,2014-04-03,일본,301,83289,애니메이션,전체관람가,8.51,야지마 아키코|후지와라 케이지|나라하시 미키|,16.50288644, ,4.805699249,,1.468025358,,11.42832,a,11.42832,a
"1,088",지랄발광 17세,켈리 프레몬,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-06-28,미국,90,83258,코미디,15세이상관람가,8.04,헤일리 스테인펠드|,1.451032978, ,5.47210027,,2.119659045,,1.4412,e,1.4412,e
"1,089",뷰티풀 크리처스,리차드 라그라브네스,롯데쇼핑㈜롯데엔터테인먼트,2013-04-18,미국,278,82995,스릴러,15세이상관람가,7.89,앨리스 잉글러트|엠마 톰슨|제레미 아이언스|에미 로섬|엘든 이렌리치|,16.50288644, ,4.953303662,,1.310004292,,11.42832,a,11.42832,a
"1,090",더 이퀄라이저,안톤 후쿠아,유니버설픽쳐스인터내셔널 코리아(유),2015-01-28,미국,255,82779,액션,청소년관람불가,8.32,덴젤 워싱턴|클로이 모레츠|마튼 초카스|,12.36267795, ,4.850910843,,1.847537118,,7.81252,a,7.81252,b
"1,091",씬 시티: 다크히어로의 부활,"프랭크 밀러,로버트 로드리게즈",메가박스중앙(주)플러스엠,2014-09-11,미국,345,82571,액션,청소년관람불가,6.7,조셉 고든 레빗|에바 그린|제시카 알바|브루스 윌리스|,4.031018854, ,5.587010734,,1.847537118,,2.95141,c,2.95141,d
"1,092",파도가 지나간 자리,데릭 시엔프랜스,CGV아트하우스,2017-03-08,미국,276,82177,드라마,15세이상관람가,8.98,마이클 패스벤더|레이첼 와이즈|알리시아 비칸데르|,4.951322077, ,5.761328649,,2.355507819,,2.77701,c,2.77701,d
"1,093",다이노X 탐험대,이동희,(주)이수C&E,2016-05-04,한국,348,82148,애니메이션,전체관람가,6.6,정준하|하하|,4.053537547, ,4.775544707,,0.670033643,,1.91147,c,1.91147,e
"1,095",꼬마참새 리차드: 아프리카 원정대,"토비 젠켈,레자 메마리",씨네그루(주)키다리이엔티,2017-06-15,독일,319,81136,애니메이션,전체관람가,8.72,김서영|구민선|,2.33289481, ,4.931860982,,1.468025358,,1.16419,d,Na,Na
"1,096",터널 3D,박규택,(주)박수엔터테인먼트,2014-08-20,한국,264,80989,공포(호러),15세이상관람가,5.73,정유미|연우진|송재림|정시연|,5.304287759, ,4.775360681,,0.243088622,,Na,Na,2.31572,d
